Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Star Wars Battlefront: Renegade Squadron,PSP,2007.0,Shooter,1.67,73.0,35.0,7.9,46.0,T
SSX 3,PS2,2003.0,Sports,1.67,93.0,41.0,9.1,125.0,E
Madden NFL 2001,PS,2000.0,Sports,1.67,90.0,14.0,6.8,4.0,E
Star Wars: Battlefront II,XB,2005.0,Shooter,1.67,83.0,40.0,8.9,106.0,T
Disney's DuckTales,NES,1989.0,Platform,1.67,,,,,
Tony Hawk's Pro Skater 3,PS,2001.0,Sports,1.67,87.0,10.0,8.3,36.0,E
"Monsters, Inc.",GBA,2001.0,Adventure,1.67,,,7.13,,E
PGR: Project Gotham Racing 2,XB,2003.0,Racing,1.67,,,,,
Dragon Age: Origins,PS3,2009.0,Role-Playing,1.67,87.0,41.0,7.9,597.0,M
Spy Hunter,PS2,2001.0,Racing,1.67,84.0,28.0,7.8,13.0,T
NCAA Football 2004,PS2,2003.0,Sports,1.67,94.0,15.0,8.8,81.0,E
Fight Night Round 3,PS3,2006.0,Fighting,1.67,83.0,37.0,7.9,24.0,T
StarCraft II: Heart of the Swarm,PC,2013.0,Strategy,1.67,86.0,68.0,7.9,1346.0,T
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003.0,Platform,1.67,71.0,9.0,9.0,85.0,E
Until Dawn,PS4,2015.0,Adventure,1.66,79.0,103.0,8.2,2161.0,M
Big Beach Sports,Wii,2008.0,Sports,1.66,44.0,17.0,8.0,41.0,E
Street Fighter II': Special Champion Edition,GEN,1992.0,Fighting,1.66,,,,,
SSX,PS2,2000.0,Sports,1.66,93.0,35.0,8.3,33.0,E
Shaun White Snowboarding: Road Trip,Wii,2008.0,Sports,1.66,78.0,28.0,8.7,22.0,E10+
NBA Ballers,PS2,2004.0,Sports,1.66,83.0,44.0,9.2,19.0,E
Saints Row IV,X360,2013.0,Action,1.66,81.0,42.0,6.5,325.0,M
NBA Live 2003,PS2,2002.0,Sports,1.66,83.0,22.0,8.3,28.0,E
LEGO Batman 2: DC Super Heroes,X360,2012.0,Action,1.66,79.0,59.0,7.2,114.0,E10+
Dragon Ball Z: Budokai Tenkaichi,PS2,2005.0,Fighting,1.66,72.0,29.0,8.4,71.0,T
Dark Souls III,PS4,2016.0,Role-Playing,1.65,89.0,69.0,8.8,1940.0,M
Ms. Pac-Man,2600,1981.0,Puzzle,1.65,,,,,
Kirby's Return to Dreamland,Wii,2011.0,Platform,1.65,77.0,49.0,8.5,156.0,E10+
Mario Party 6,GC,2004.0,Misc,1.65,71.0,33.0,7.9,51.0,E
Super Scope 6,SNES,1991.0,Shooter,1.65,,,,,
Star Wars The Clone Wars: Lightsaber Duels,Wii,2008.0,Action,1.65,56.0,24.0,6.7,18.0,T
Need for Speed Carbon,X360,2006.0,Racing,1.65,77.0,52.0,6.3,82.0,E10+
Heavenly Sword,PS3,2007.0,Action,1.65,79.0,64.0,8.3,544.0,T
Dragon Quest V: Tenkuu no Hanayome,PS2,2004.0,Role-Playing,1.65,,,,,
MySims,Wii,2007.0,Simulation,1.65,68.0,38.0,7.2,56.0,E
Kirby & the Amazing Mirror,GBA,2004.0,Platform,1.64,,,,,
Army of Two,X360,2008.0,Shooter,1.64,72.0,76.0,7.6,233.0,M
Dig Dug,2600,1982.0,Puzzle,1.64,,,,,
Tom Clancy's Rainbow Six,PS,1999.0,Shooter,1.64,,,,,
Ghosts 'n Goblins,NES,1986.0,Action,1.64,,,,,
Tiger Woods PGA Tour 2003,PS2,2002.0,Sports,1.64,88.0,18.0,8.9,18.0,E
NBA Live 06 (All region sales),PS2,2005.0,Sports,1.64,,,,,
Prince of Persia: Warrior Within,PS2,2004.0,Action,1.64,83.0,51.0,8.5,120.0,M
Far Cry 4,XOne,2014.0,Shooter,1.63,82.0,15.0,7.5,383.0,M
ESPN NFL 2K5,XB,2004.0,Sports,1.63,92.0,42.0,9.1,93.0,E
Beyond: Two Souls,PS3,2013.0,Adventure,1.63,70.0,98.0,8.1,2652.0,M
Pikmin,GC,2001.0,Strategy,1.63,89.0,39.0,8.7,121.0,E
Tiger Woods PGA Tour 2004,PS2,2003.0,Sports,1.63,89.0,23.0,8.8,40.0,E
NBA 2K15,X360,2014.0,Sports,1.63,,,3.0,40.0,E
Call of Duty: Black Ops,PC,,Shooter,1.63,81.0,29.0,5.2,1651.0,M
Ape Escape,PS,1999.0,Platform,1.63,90.0,19.0,8.8,53.0,E
NCAA Football 2005,PS2,2004.0,Sports,1.62,88.0,29.0,8.8,35.0,E
Max Payne 3,X360,2012.0,Shooter,1.62,86.0,80.0,7.8,869.0,M
Viva Pinata,X360,2006.0,Simulation,1.62,84.0,65.0,8.0,131.0,E
Tony Hawk's American Wasteland (Old all region sales),PS2,2005.0,Sports,1.62,,,,,
Kinectimals,X360,2010.0,Simulation,1.62,74.0,50.0,3.1,69.0,E
Kirby Air Ride,GC,2003.0,Racing,1.62,61.0,28.0,7.9,69.0,E
LEGO Marvel Super Heroes,PS4,2013.0,Action,1.62,83.0,22.0,7.7,262.0,E10+
Sled Storm,PS,1998.0,Racing,1.62,,,,,
Destiny,PS3,2014.0,Shooter,1.62,,,4.5,445.0,T
Rock Band,PS3,,Misc,1.62,92.0,35.0,8.4,107.0,T
Dragon Quest IV: Chapters of the Chosen,DS,2007.0,Role-Playing,1.62,80.0,44.0,7.9,50.0,E10+
NFL Street 2,PS2,2004.0,Sports,1.61,77.0,33.0,8.7,20.0,E
Baseball,GB,1989.0,Sports,1.61,,,,,
Yu-Gi-Oh! Duel Monsters,GB,1998.0,Strategy,1.61,,,,,
Super Mario Strikers,GC,2005.0,Sports,1.61,76.0,39.0,8.7,55.0,E
Buzz! The Music Quiz,PS2,2005.0,Misc,1.61,,,,,
Rage,X360,2011.0,Shooter,1.6,81.0,77.0,6.7,559.0,M
Mario Hoops 3 on 3,DS,2006.0,Sports,1.6,69.0,40.0,8.0,37.0,E
SpongeBob's Atlantis SquarePantis,DS,2007.0,Action,1.6,64.0,5.0,7.13,,E
Dollar Dash,PS2,2005.0,Action,1.6,,,,,
F-1 World Grand Prix,N64,1998.0,Racing,1.6,,,,,
River Raid,2600,1981.0,Shooter,1.6,,,,,
Just Cause 2,X360,2010.0,Action,1.6,81.0,74.0,8.0,267.0,M
Silent Hill,PS,1999.0,Action,1.6,86.0,17.0,9.2,326.0,M
Sonic Heroes,GC,2003.0,Platform,1.6,72.0,49.0,7.8,125.0,E
Disney Infinity,Wii,2013.0,Action,1.6,,,4.2,24.0,E10+
ESPN NBA 2K5,PS2,2004.0,Sports,1.59,83.0,24.0,7.5,36.0,E
Diablo,PC,1996.0,Role-Playing,1.59,94.0,12.0,8.7,850.0,M
Far Cry 2,X360,2008.0,Action,1.59,85.0,75.0,6.7,288.0,M
The Legend of Zelda: Twilight Princess,GC,2006.0,Action,1.59,96.0,16.0,9.2,568.0,T
Soul Edge,PS,1996.0,Fighting,1.59,,,,,
Mario Bros.,2600,1982.0,Platform,1.59,,,,,
Pro Evolution Soccer 2008,PS3,2007.0,Sports,1.59,74.0,19.0,6.1,47.0,E
NASCAR 2000,PS,1999.0,Racing,1.59,,,,,
Pokemon Battle Revolution,Wii,2006.0,Role-Playing,1.58,53.0,34.0,6.7,106.0,E
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012.0,Action,1.58,75.0,54.0,8.2,267.0,E10+
Dance Dance Revolution: Hottest Party 2,Wii,2008.0,Simulation,1.58,69.0,8.0,6.8,6.0,E10+
SoulCalibur IV,X360,2008.0,Fighting,1.58,85.0,62.0,7.9,157.0,T
Jampack Summer 2K,PS,2000.0,Misc,1.58,,,,,
Sonic Generations,PS3,2011.0,Platform,1.58,76.0,38.0,8.2,253.0,E
Spyro 2: Season of Flame,GBA,2002.0,Platform,1.58,76.0,18.0,7.6,13.0,E
Mario Party 10,WiiU,2015.0,Misc,1.58,66.0,66.0,6.5,279.0,E
Devil May Cry 4,PS3,2008.0,Action,1.57,84.0,63.0,8.2,311.0,M
Dead Rising 3,XOne,2013.0,Action,1.57,78.0,69.0,6.8,908.0,M
Pro Evolution Soccer 2010,PS2,2009.0,Sports,1.57,,,8.1,15.0,E
NCAA Football 2002,PS2,2001.0,Sports,1.57,90.0,18.0,8.7,24.0,E
Gears of War: Judgment,X360,2013.0,Shooter,1.57,79.0,81.0,5.4,779.0,M
Watch Dogs,XOne,2014.0,Action,1.57,78.0,15.0,5.8,712.0,M
Guitar Hero: On Tour Decades,DS,2008.0,Misc,1.57,72.0,40.0,8.0,5.0,E10+
FIFA 16,X360,2015.0,Sports,1.57,,,2.9,45.0,E
Madden NFL 15,XOne,2014.0,Sports,1.57,80.0,19.0,6.4,138.0,E
Conflict: Desert Storm,PS2,2002.0,Shooter,1.57,55.0,10.0,8.6,45.0,T
Mario Party 7,GC,2005.0,Misc,1.57,64.0,25.0,7.9,53.0,E
Dragon Quest V: Hand of the Heavenly Bride,DS,2008.0,Role-Playing,1.57,84.0,46.0,8.5,57.0,E10+
High School Musical 3: Senior Year,DS,2008.0,Misc,1.56,,,,,
Smuggler's Run,PS2,2000.0,Racing,1.56,79.0,21.0,6.8,18.0,T
Fight Night Round 3,PS2,2006.0,Fighting,1.56,84.0,32.0,8.1,41.0,T
Need for Speed: Most Wanted,X360,2012.0,Racing,1.56,83.0,54.0,8.5,134.0,T
Carnival Games: Mini Golf,Wii,2008.0,Sports,1.56,38.0,10.0,5.7,7.0,E
Donkey Kong Classics,NES,1988.0,Platform,1.56,,,,,
Hannah Montana: Music Jam,DS,2007.0,Action,1.56,,,,,
Twisted Metal,PS,1995.0,Action,1.56,,,,,
Final Fight,SNES,1990.0,Action,1.56,,,,,
Pokemon Mystery Dungeon: Explorers of Sky,DS,2009.0,Role-Playing,1.56,54.0,26.0,9.0,133.0,E
Dragon Quest Monsters 2,GB,2001.0,Role-Playing,1.56,,,,,
Pokemon Pinball: Ruby & Sapphire,GBA,2003.0,Misc,1.56,,,,,
MySims Kingdom,DS,2008.0,Simulation,1.55,58.0,9.0,7.13,,E
LEGO Pirates of the Caribbean: The Video Game,Wii,2011.0,Action,1.55,73.0,14.0,7.0,13.0,E10+
Stuntman,PS2,2002.0,Racing,1.55,71.0,37.0,5.7,36.0,T
Tom Clancy's Rainbow Six 3,XB,2003.0,Shooter,1.55,86.0,39.0,8.5,31.0,M
LEGO Harry Potter: Years 1-4,X360,2010.0,Action,1.55,79.0,58.0,8.0,62.0,E10+
007: The World is not Enough,N64,2000.0,Action,1.55,,,,,
Spider-Man 2: Enter: Electro,PS,2001.0,Action,1.55,74.0,15.0,8.7,35.0,E
Guitar Hero 5,Wii,2009.0,Misc,1.55,89.0,25.0,6.9,49.0,T
Command & Conquer: Tiberian Sun,PC,1999.0,Strategy,1.55,,,,,
Wolfenstein: The New Order,PS4,2014.0,Shooter,1.55,79.0,73.0,8.1,1116.0,M
Mafia II,X360,2010.0,Action,1.55,74.0,79.0,7.8,458.0,M
Moshi Monsters: Moshling Zoo,DS,2011.0,Misc,1.54,,,7.13,,E
BioShock 2,PS3,2010.0,Shooter,1.54,88.0,62.0,8.2,492.0,M
Dark Cloud,PS2,2000.0,Role-Playing,1.54,80.0,27.0,8.2,99.0,T
Warcraft III: The Frozen Throne,PC,2003.0,Strategy,1.54,88.0,23.0,9.0,713.0,T
Active Life: Outdoor Challenge,Wii,2008.0,Sports,1.54,69.0,6.0,8.1,14.0,E
Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006.0,Shooter,1.54,90.0,78.0,8.0,215.0,T
Ratchet & Clank (2016),PS4,2016.0,Platform,1.54,,,,,
MVP Baseball 2005,PS2,2005.0,Sports,1.54,87.0,25.0,8.6,47.0,E
Die Hard Trilogy,PS,1996.0,Shooter,1.54,,,,,
Uncharted: Golden Abyss,PSV,2011.0,Shooter,1.53,80.0,80.0,7.4,770.0,T
Go Vacation,Wii,2011.0,Misc,1.53,64.0,28.0,7.8,13.0,E10+
Pro Evolution Soccer 2013,PS3,2012.0,Sports,1.53,82.0,37.0,6.7,146.0,E
Mortal Kombat 3,SNES,1994.0,Fighting,1.53,,,,,
NFL GameDay 99,PS,1998.0,Sports,1.53,,,,,
Dishonored,PS3,2012.0,Action,1.53,89.0,35.0,7.9,781.0,M
Mario Golf: Toadstool Tour,GC,2003.0,Sports,1.53,81.0,49.0,8.0,56.0,E
Tiger Woods 99 PGA Tour Golf,PS,1997.0,Sports,1.53,,,,,
Call of Duty: Black Ops II,PC,2012.0,Shooter,1.53,74.0,11.0,4.2,1635.0,M
Resident Evil: The Umbrella Chronicles,Wii,2007.0,Action,1.52,75.0,47.0,7.6,122.0,M
Knockout Kings,PS,1997.0,Fighting,1.52,,,,,
The Simpsons Skateboarding,PS2,2002.0,Sports,1.52,38.0,21.0,5.0,26.0,T
Donkey Kong Country: Tropical Freeze,WiiU,2014.0,Platform,1.52,83.0,77.0,8.9,712.0,E
NASCAR 98,PS,1996.0,Racing,1.52,,,,,
Xevious,NES,1984.0,Shooter,1.52,,,,,
F1 Race,NES,1984.0,Racing,1.52,,,,,
NASCAR 99,PS,1998.0,Racing,1.52,,,,,
Final Fantasy XIV: A Realm Reborn,PC,2010.0,Role-Playing,1.52,,,,,
NBA Live 2000,PS,1998.0,Sports,1.52,,,,,
Fight Night Round 4,PS3,2009.0,Fighting,1.52,88.0,46.0,7.6,95.0,T
Super Monkey Ball 2,GC,2002.0,Puzzle,1.52,87.0,34.0,8.5,51.0,E
Pac-Man World 2,PS2,2002.0,Action,1.51,73.0,19.0,7.8,26.0,E
Disney Fairies: Tinker Bell,DS,2008.0,Adventure,1.51,,,7.8,5.0,E
MySims Kingdom,Wii,2008.0,Simulation,1.51,76.0,19.0,8.1,24.0,E
Dead Space 2,X360,2011.0,Shooter,1.51,90.0,83.0,8.6,679.0,M
Puzzle & Dragons,3DS,2013.0,Role-Playing,1.51,,,,,
Call of Duty: Modern Warfare: Reflex Edition,Wii,2009.0,Shooter,1.51,,,,,
Mega Man 2,NES,1988.0,Action,1.51,,,,,
Simpsons Wrestling,PS,2001.0,Fighting,1.51,,,,,
NBA Live 98,PS,1997.0,Sports,1.51,,,,,
The Simpsons Game,PS2,2007.0,Action,1.51,68.0,10.0,8.2,27.0,T
Monopoly,PS,1997.0,Misc,1.51,,,,,
The Simpsons Game,DS,2007.0,Action,1.51,69.0,17.0,7.3,18.0,T
Football Manager 2012,PC,2011.0,Sports,1.51,84.0,45.0,8.0,172.0,E
Ni no Kuni: Wrath of the White Witch,PS3,2011.0,Role-Playing,1.51,85.0,89.0,8.6,984.0,E10+
SoulCalibur II,GC,2003.0,Fighting,1.5,93.0,45.0,9.1,135.0,T
Call of Duty 3,PS3,2006.0,Shooter,1.5,80.0,43.0,6.9,92.0,T
Tokyo Xtreme Racer Zero,PS2,2000.0,Racing,1.5,76.0,15.0,8.9,64.0,E
NFL Blitz,PS,1998.0,Sports,1.5,,,,,
Red Faction II,PS2,2002.0,Shooter,1.5,84.0,30.0,8.3,35.0,M
Madden NFL 2001,PS2,2000.0,Sports,1.5,91.0,25.0,7.7,7.0,E
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986.0,Platform,1.5,,,,,
WWF No Mercy,N64,2000.0,Fighting,1.5,,,,,
Ice Climber,NES,1985.0,Platform,1.5,,,,,
Sonic CD,SCD,1993.0,Platform,1.5,,,,,
Star Wars: The Force Unleashed II,PS3,2010.0,Action,1.5,63.0,41.0,6.8,121.0,T
Pac-Man World,PS,1998.0,Action,1.5,,,,,
Rock Band 2,PS3,2008.0,Misc,1.49,91.0,24.0,7.9,88.0,T
Final Fantasy: Crystal Chronicles,GC,2003.0,Role-Playing,1.49,80.0,55.0,8.1,94.0,T
Medal of Honor: Frontline,XB,2002.0,Shooter,1.49,81.0,18.0,6.9,23.0,T
Madden NFL 09,PS2,2008.0,Sports,1.49,67.0,4.0,7.0,24.0,E
Dead Rising 2,X360,2010.0,Action,1.49,79.0,76.0,6.9,216.0,M
Banjo-Tooie,N64,2000.0,Platform,1.49,,,,,
Buzz! The BIG Quiz,PS2,2006.0,Misc,1.49,,,,,
Mafia II,PS3,2010.0,Action,1.49,75.0,61.0,7.7,297.0,M
Batman: Arkham Knight,XOne,2015.0,Action,1.49,85.0,16.0,6.6,694.0,M
Doom (2016),PS4,2016.0,Shooter,1.49,,,,,
Dirge of Cerberus: Final Fantasy VII,PS2,2006.0,Shooter,1.48,57.0,51.0,6.9,103.0,T
WWF WrestleMania 2000,N64,1999.0,Fighting,1.48,,,,,
Wario Land II,GB,1997.0,Platform,1.48,,,,,
Nintendo World Cup,NES,1990.0,Sports,1.48,,,,,
Sonic Rivals 2,PSP,2007.0,Racing,1.48,60.0,24.0,7.8,35.0,E
Bratz: Forever Diamondz,DS,2006.0,Adventure,1.48,,,6.5,4.0,E
Resistance 3,PS3,2011.0,Shooter,1.48,83.0,91.0,7.8,543.0,M
Drawn To Life: SpongeBob SquarePants Edition,DS,2008.0,Adventure,1.48,68.0,12.0,5.5,4.0,E
Disney Sing It: Pop Hits,Wii,2009.0,Misc,1.48,,,7.13,,E
007: Quantum of Solace,X360,2008.0,Action,1.48,65.0,69.0,7.1,71.0,T
Major League Baseball 2K5,PS2,2005.0,Sports,1.48,82.0,19.0,7.4,20.0,E
Fight Night 2004,PS2,2004.0,Fighting,1.48,85.0,43.0,9.0,25.0,T
LEGO Star Wars III: The Clone Wars,X360,2011.0,Action,1.48,75.0,43.0,7.8,42.0,E10+
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004.0,Action,1.48,93.0,74.0,8.6,68.0,T
LEGO City Undercover,3DS,2013.0,Platform,1.47,,,,,
Imagine: Master Chef,DS,2007.0,Simulation,1.47,,,7.13,,E
Disney Princess,GBA,2003.0,Platform,1.47,,,7.13,,E
Mario Golf,N64,1999.0,Action,1.47,,,,,
Call of Duty Black Ops: Declassified,PSV,2012.0,Action,1.47,33.0,58.0,4.8,479.0,M
Tom Clancy's Ghost Recon: Future Soldier,X360,2012.0,Shooter,1.47,79.0,75.0,7.2,334.0,M
Fight Night Round 3,X360,2006.0,Fighting,1.47,86.0,67.0,8.8,264.0,T
Xenogears,PS,1998.0,Role-Playing,1.46,84.0,15.0,8.4,204.0,T
The SpongeBob SquarePants Movie,GBA,2004.0,Platform,1.46,,,7.13,,E
Super Scribblenauts,DS,2010.0,Puzzle,1.46,81.0,53.0,8.2,46.0,E10+
Midway Arcade Treasures,PS2,2003.0,Misc,1.46,76.0,22.0,7.13,,T
Triple Play 99,PS,,Sports,1.46,,,,,
Dragon Quest VII: Warriors of Eden,3DS,2013.0,Role-Playing,1.46,,,,,
Super Monkey Ball,GC,2001.0,Puzzle,1.46,87.0,28.0,7.9,46.0,E
SoulCalibur IV,PS3,2008.0,Fighting,1.46,85.0,65.0,7.9,129.0,T
Donkey Kong,2600,1981.0,Platform,1.46,,,,,
Mortal Kombat 4,PS,1998.0,Fighting,1.46,,,,,
New Play Control! Mario Power Tennis,Wii,2009.0,Sports,1.46,,,,,
Mario Superstar Baseball,GC,2005.0,Sports,1.46,76.0,38.0,8.6,41.0,E
Wall-E,DS,2008.0,Platform,1.46,54.0,15.0,7.13,,E
WCW vs the World,PS,1998.0,Fighting,1.46,,,,,
Battlefield: Bad Company,X360,2008.0,Shooter,1.46,83.0,70.0,7.7,263.0,T
Homefront,X360,2011.0,Shooter,1.45,70.0,85.0,6.0,399.0,M
Onimusha 3: Demon Siege,PS2,2004.0,Action,1.45,85.0,53.0,8.6,73.0,M
Madden NFL 15,PS3,2014.0,Sports,1.45,,,2.7,13.0,E
Red Dead Revolver,PS2,2004.0,Shooter,1.45,73.0,42.0,7.8,70.0,M
Resident Evil: Outbreak,PS2,2003.0,Action,1.45,71.0,40.0,8.3,94.0,M
Tamagotchi,GB,1996.0,Simulation,1.45,,,,,
4 Nin uchi Mahjong,NES,1984.0,Misc,1.45,,,,,
Dragon Ball Z,SNES,1993.0,Fighting,1.45,,,,,
Game de Hakken!! Tamagotchi 2,GB,1997.0,Simulation,1.45,,,,,
Namco Museum 64,N64,1999.0,Misc,1.45,,,,,
Mass Effect 2,PS3,2011.0,Role-Playing,1.45,94.0,62.0,8.5,1081.0,M
LEGO Battles: Ninjago,DS,2011.0,Strategy,1.45,59.0,14.0,6.9,11.0,E
Tony Hawk's American Wasteland (Weekly american sales),PS2,2005.0,Sports,1.45,,,,,
NBA 2K14,PS4,2013.0,Sports,1.45,85.0,20.0,6.5,368.0,E
The House of the Dead 2 & 3 Return,Wii,2008.0,Shooter,1.44,,,,,
SingStar Pop,PS2,2007.0,Misc,1.44,73.0,13.0,7.5,8.0,E10+
Kirby Super Star,SNES,1996.0,Platform,1.44,,,,,
Sonic & Sega All-Stars Racing,Wii,2010.0,Racing,1.44,,,,,
Disney Infinity,X360,2013.0,Action,1.44,74.0,38.0,6.5,79.0,E10+
My Word Coach,DS,2007.0,Misc,1.44,71.0,7.0,6.8,5.0,E
Tiger Woods PGA Tour 2005,PS2,2004.0,Sports,1.44,88.0,30.0,8.2,20.0,E
NCAA Football 2003,PS2,2002.0,Sports,1.44,91.0,19.0,8.6,27.0,E
Star Wars: The Force Unleashed II,X360,2010.0,Action,1.43,61.0,59.0,5.7,180.0,T
Frogger 2: Swampy's Revenge,PS,1999.0,Action,1.43,77.0,4.0,7.9,8.0,E
WWE SmackDown vs Raw 2008,X360,2007.0,Fighting,1.43,71.0,41.0,6.8,48.0,T
Kinect Joy Ride,X360,2010.0,Racing,1.43,52.0,46.0,5.0,20.0,E
Smarty Pants,Wii,2007.0,Misc,1.43,65.0,26.0,7.6,10.0,E
SNK vs. Capcom: The Match of the Millennium,PSP,2006.0,Fighting,1.43,,,,,
Disney's DuckTales,GB,1988.0,Platform,1.43,,,,,
Disney Princess: Magical Jewels,DS,2007.0,Adventure,1.43,,,7.13,,E
Classic NES Series: Super Mario Bros.,GBA,2004.0,Platform,1.43,84.0,14.0,8.6,44.0,E
Triple Play 2000,PS,1999.0,Sports,1.43,,,,,
Anno 2070,PC,2011.0,Strategy,1.43,83.0,33.0,7.0,493.0,T
Hasbro Family Game Night,Wii,2008.0,Puzzle,1.43,63.0,12.0,7.5,11.0,E
Sonic Rivals,PSP,2006.0,Racing,1.42,64.0,25.0,7.8,38.0,E
BioShock,PS3,2008.0,Shooter,1.42,94.0,51.0,8.7,881.0,M
Mass Effect 3,PS3,2012.0,Role-Playing,1.42,93.0,30.0,5.5,1849.0,M
Cabela's Big Game Hunter,PS2,2002.0,Sports,1.42,59.0,7.0,7.8,12.0,T
NBA Live 06 (Weekly american sales),PS2,2005.0,Sports,1.42,,,,,
SimCity (2013),PC,2013.0,Simulation,1.42,64.0,75.0,2.2,4572.0,E10+
The Legend of Zelda: The Minish Cap,GBA,2004.0,Action,1.42,89.0,56.0,9.0,203.0,E
NFL Street,PS2,2004.0,Sports,1.42,80.0,36.0,8.9,45.0,E
Super Metroid,SNES,1994.0,Action,1.42,,,,,
Pro Yakyuu Family Stadium '87,NES,1987.0,Sports,1.42,,,,,
Dead Space 2,PS3,2011.0,Shooter,1.42,89.0,78.0,8.4,535.0,M
Tiger Woods PGA Tour 09 All-Play,Wii,2008.0,Sports,1.42,81.0,18.0,8.7,34.0,E
Metal Gear Rising: Revengeance,PS3,2013.0,Action,1.42,80.0,61.0,7.9,746.0,M
Resident Evil (Remake),GC,2002.0,Action,1.42,,,,,
Rayman Raving Rabbids,Wii,2006.0,Misc,1.42,76.0,54.0,7.9,116.0,E
Dragon Quest Monsters: Joker 2,DS,2010.0,Role-Playing,1.41,77.0,33.0,7.3,15.0,E
UFC Undisputed 2010,PS3,2010.0,Fighting,1.41,85.0,54.0,7.2,48.0,T
LEGO Star Wars: The Video Game,GC,2005.0,Action,1.41,,,,,
Medal of Honor: Warfighter,PS3,2012.0,Action,1.41,55.0,22.0,6.0,250.0,M
Disney's The Lion King,GEN,1994.0,Platform,1.41,,,,,
Sonic's Ultimate Genesis Collection,X360,2009.0,Misc,1.41,79.0,45.0,8.5,40.0,E10+
Hello Kitty Party,DS,2007.0,Misc,1.41,,,7.13,,E
The Sims 3,Wii,2010.0,Simulation,1.41,,,2.5,31.0,T
Knockout Kings 2000,PS,1999.0,Fighting,1.41,,,,,
Gran Turismo 4 Prologue,PS2,2003.0,Racing,1.41,,,,,
Diablo III,X360,2013.0,Role-Playing,1.41,87.0,42.0,6.6,384.0,M
Twisted Metal: Black,PS2,2001.0,Racing,1.41,91.0,15.0,8.4,98.0,M
NASCAR 2005: Chase for the Cup,PS2,2004.0,Racing,1.41,87.0,19.0,8.4,15.0,E
Fight Night Round 4,X360,2009.0,Fighting,1.4,87.0,76.0,8.1,86.0,T
Spider-Man: The Movie,XB,2002.0,Action,1.4,79.0,29.0,7.5,11.0,E
LEGO Star Wars II: The Original Trilogy,PSP,2006.0,Action,1.4,83.0,11.0,8.6,26.0,E10+
Dead Space,X360,2008.0,Action,1.4,89.0,79.0,8.7,768.0,M
Need For Speed: Undercover,PS2,2008.0,Racing,1.4,,,6.5,38.0,T
2Xtreme,PS,1996.0,Sports,1.4,,,,,
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009.0,Action,1.4,72.0,13.0,6.1,14.0,E10+
Ridge Racer,PSP,2004.0,Racing,1.4,88.0,58.0,8.2,65.0,E
Sonic Advance 3,GBA,2004.0,Platform,1.4,79.0,30.0,8.4,34.0,E
Final Fantasy III,NES,1990.0,Role-Playing,1.4,,,,,
Tomb Raider (2013),PS4,2014.0,Action,1.4,,,,,
Colin McRae Rally 3,PS2,2002.0,Racing,1.4,86.0,25.0,7.7,24.0,E
Forza Horizon 2,XOne,2014.0,Racing,1.4,86.0,85.0,8.2,977.0,E10+
Madden NFL 2002,PS,2001.0,Sports,1.39,88.0,9.0,8.0,7.0,E
Inazuma Eleven 2,DS,2009.0,Role-Playing,1.39,,,,,
NBA Jam,SNES,1994.0,Sports,1.39,,,,,
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991.0,Action,1.39,,,,,
Dynasty Warriors 5,PS2,2005.0,Action,1.39,69.0,29.0,8.8,68.0,T
Hannah Montana: Spotlight World Tour,Wii,2007.0,Action,1.39,,,,,
Injustice: Gods Among Us,X360,2013.0,Fighting,1.38,81.0,63.0,7.9,362.0,T
Far Cry 2,PS3,2008.0,Action,1.38,85.0,49.0,6.4,241.0,M
Yoshi's New Island,3DS,2014.0,Platform,1.38,64.0,71.0,6.1,155.0,E
LEGO Batman 2: DC Super Heroes,Wii,2012.0,Action,1.38,,,7.1,12.0,E10+
True Crime: Streets of LA,XB,2003.0,Action,1.38,77.0,39.0,7.8,28.0,M
Toy Story 3: The Video Game,Wii,2010.0,Action,1.38,,,,,
Bravely Default: Flying Fairy,3DS,2012.0,Role-Playing,1.38,,,,,
Ryse: Son of Rome,XOne,2013.0,Action,1.38,60.0,77.0,6.1,1409.0,M
Mortal Kombat X,XOne,2015.0,Fighting,1.38,86.0,21.0,7.3,279.0,M
Paper Mario,N64,2000.0,Role-Playing,1.38,,,,,
Rise of the Tomb Raider,XOne,2015.0,Adventure,1.38,86.0,102.0,8.0,1288.0,M
Duke Nukem: Time to Kill,PS,1998.0,Shooter,1.38,,,,,
Sonic Generations,X360,2011.0,Platform,1.38,77.0,49.0,8.3,340.0,E
Dave Mirra Freestyle BMX 2,PS2,2001.0,Sports,1.38,81.0,21.0,8.1,18.0,T
Bakugan: Battle Brawlers,DS,2009.0,Action,1.38,60.0,6.0,6.7,7.0,E
LEGO Indiana Jones: The Original Adventures,PS2,2008.0,Action,1.37,77.0,12.0,8.4,16.0,E10+
Deus Ex: Human Revolution,X360,2011.0,Shooter,1.37,89.0,70.0,8.3,684.0,M
